cohort	donor	gene	effect
Sealed LR	CCUS-70	CUTA	0.138401831027963
Sealed LR	HD10	CUTA	0.2215579091219678
Sealed LR	HDMCBM	CUTA	0.1807213930348258
Sealed LR	CCUS-52	PSMB8	0.2374607165304839
Sealed LR	CCUS-70	PSMB8	0.1425795173780993
Sealed LR	HD10	PSMB8	0.2436332395304596
Sealed LR	HDMCBM	PSMB8	0.2402150567706905
Sealed LR	CCUS-52	RPL41	0.0753839619056135
Sealed LR	CCUS-70	RPL41	0.2720545609548167
Sealed LR	HD10	RPL41	0.0507523563473907
Sealed LR	HDMCBM	RPL41	0.1193227993245675
Sealed LR	CCUS-52	SMAP2	0.25
Sealed LR	CCUS-70	SMAP2	0.0085470085470085
Sealed LR	HD10	SMAP2	0.0919769528246163
Sealed LR	HDMCBM	SMAP2	0.0629301712062492
